Summary	Component	Status	Assignee	Issue Type	Sprint	Priority	Estimate	Start Date	Due Date	Parent	Key	Description
RB-01: Authentication & Security Foundation	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	24h	2026/06/27 09:00	2026/06/28 22:00		CVMANAGER-0001	Module nền tảng xác thực, bảo mật, JWT, refresh token, logout và chuẩn response theo SRS.
Khởi tạo project Spring Boot Banking API	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0002	Tạo project Spring Boot, cấu hình Gradle, package structure và application properties.
Thiết kế entity hệ thống ngân hàng	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0003	Tạo entity User, Role, Account, KycProfile, BankingTransaction, AuditLog, RefreshToken, TokenBlacklist.
Xây dựng repository layer nền tảng	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0004	Tạo repository cho User, Role, Account, KycProfile, BankingTransaction, AuditLog, RefreshToken và TokenBlacklist.
Chuẩn hóa success/error response nền tảng	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0005	Tạo response thành công dạng success, message, data và error response gồm timestamp, status, error, message, path.
Cấu hình Spring Security stateless	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0006	Tắt CSRF, cấu hình stateless session, permit /api/auth/** và bảo vệ private API.
Xây dựng JWT service và authentication filter	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0007	Tạo service xử lý JWT, validate token, lấy thông tin user, expiration và filter đọc Authorization Bearer.
Xây dựng API đăng nhập	API	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0008	POST /api/auth/login cho phép user đăng nhập và nhận JWT access token cùng refresh token.
Xây dựng API đăng xuất và blacklist token	API	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0009	POST /api/auth/logout đưa access token vào blacklist và revoke refresh token khi cần.
Xây dựng API refresh token	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0010	POST /api/auth/refresh kiểm tra refresh token tồn tại, chưa hết hạn, chưa revoked và cấp access token mới.
